CALENDARIO DE VENCIMENTOS - RENDA FIXA
Data de referencia:,12/03/2026

VENCIMENTOS PROXIMOS (ordenado por data)
Produto,Emissor,Instituicao,Tipo,Taxa,Vencimento,Valor Bruto BRL,Dias p/ Venc.
LCA,Banco Coop. Sicoob,BTG,Pos-fixado,95% CDI,24/03/2026,"22,547.18",12
LCA,Itau Unibanco,Itau,Pos-fixado,96.50% DI,16/03/2026,"31,798.26",4
LCA,Itau Unibanco,Itau,Pos-fixado,90.75% CDI,25/05/2026,"139,620.99",74
LCA,Itau Unibanco,Itau,Pos-fixado,12.46% a.d.,10/08/2026,"131,278.37",151
CDB,Banco BTG Pactual,BTG,Pos-fixado,CDI,07/12/2026,"273,775.90",270
LCI,Caixa Economica Federal,BTG,Pos-fixado,92.76% CDI,29/03/2027,"283,676.65",382
LCA,Banco Coop. Sicoob,BTG,Pos-fixado,95% CDI,30/06/2027,"248,948.32",475
LCI,Itau Unibanco,Itau,Pre-fixado,91.75% CDI,03/06/2027,"93,847.68",448
LCA,Banco BTG Pactual,BTG,Pos-fixado,93% CDI,29/07/2027,"280,704.97",504
CDB,Banco BTG Pactual,BTG,Pos-fixado,CDI,15/09/2027,"32,104.29",552
LCA,Banco Rabobank,BTG,Pos-fixado,94.25% CDI,25/08/2027,"38,675.50",531
LCI,Caixa Economica Federal,BTG,Pos-fixado,12.35% a.a.,25/01/2027,"1,015,780.47",319
LCA,Banco ABC Brasil,BTG,Pos-fixado,91.50% CDI,01/12/2027,"206,604.43",629
CDB,Banco BTG Pactual,BTG,Pos-fixado,CDI,20/12/2027,"9,772.92",648
CDB,Banco BTG Pactual,BTG,Pos-fixado,CDI,16/09/2027,"64,173.18",553
CDB,Banco BTG Pactual,BTG,Pos-fixado,CDI,02/02/2028,"101,443.30",692
LCI,Itau Unibanco,Itau,Pre-fixado,91.75% CDI,24/04/2028,"67,196.86",773
LCI,Itau Unibanco,Itau,Pre-fixado,91.75% CDI,03/04/2028,"56,322.11",752
LCA,Itau Unibanco,Itau,Pos-fixado,91.75% CDI,15/05/2028,"27,795.28",795
CRA,Minerva Foods,BTG,IPCA+,IPCA + 7.14%,17/04/2028,"36,488.57",766
CDB,Banco BMG,BTG,Pos-fixado,109.20% CDI,01/09/2028,"9,437.86",903
CRA,FS Bio,BTG,IPCA+,IPCA + 7.68%,15/05/2029,"171,077.44",1160
CRA,Caramuru,BTG,IPCA+,IPCA + 7.44%,16/07/2029,"84,832.64",1222
CDB,Banco BMG,BTG,Pos-fixado,110.70% CDI,01/10/2029,"40,889.87",1298
CDB,Itau Unibanco,Itau,Pos-fixado,100% CDI,27/11/2030,"193,257.17",1721
CDB,Itau Unibanco,Itau,Pos-fixado,100% CDI,04/12/2030,"258,433.03",1728
CRI,Grupo Hapvida,BTG,IPCA+,IPCA + 8.36%,15/12/2031,"71,366.72",2104
LTN,BACEN,BTG,Pre-fixado,13.69% a.a.,01/01/2032,"924,794.65",2121
Debenture,Engie Brasil Energia,BTG,IPCA+,IPCA + 7.25%,15/01/2032,"26,650.91",2135

RESUMO POR ANO
Ano,Valor BRL,Qtd Ativos
2026,"599,020.70",5
2027,"2,249,265.63",8
2028,"298,684.08",5
2029,"255,910.08",2
2030,"492,579.07",3
2031,"71,366.72",1
2032,"951,445.56",2
TOTAL,"4,918,271.84",26
