HISTORICO MENSAL - ACOMPANHAMENTO
Preencher mensalmente com dados atualizados

Mes,Onshore BRL,Offshore USD,Cambio,Offshore BRL,Total BRL,Var Mensal %,RV Brasil %,RV Global %,RF Brasil %,Bonds Global %,Previdencia %,Caixa %
Mar/2026,"14,604,644.57","862,905.53",5.15,"4,443,963.48","19,048,608.05",,46.1%,12.9%,29.8%,9.1%,1.3%,0.0%
Abr/2026,,,,,,,,,,,,
Mai/2026,,,,,,,,,,,,
Jun/2026,,,,,,,,,,,,
Jul/2026,,,,,,,,,,,,
Ago/2026,,,,,,,,,,,,
Set/2026,,,,,,,,,,,,
Out/2026,,,,,,,,,,,,
Nov/2026,,,,,,,,,,,,
Dez/2026,,,,,,,,,,,,
Jan/2027,,,,,,,,,,,,
Fev/2027,,,,,,,,,,,,

PERFORMANCE OFFSHORE (referencia)
Mes,Carteira %,S&P 500 %,S&P Agg Bond %
Mar/2025,-4.80%,-5.80%,-0.00%
Abr/2025,3.30%,-0.80%,0.40%
Mai/2025,5.30%,6.20%,-0.60%
Jun/2025,3.60%,5.00%,1.50%
Jul/2025,1.90%,2.20%,-0.30%
Ago/2025,0.00%,1.90%,1.20%
Set/2025,4.00%,3.50%,1.10%
Out/2025,-0.30%,2.30%,0.60%
Nov/2025,-2.10%,0.10%,0.60%
Dez/2025,-1.00%,-0.10%,-0.30%
Jan/2026,1.60%,1.40%,0.30%
Fev/2026,0.80%,-0.90%,1.30%
Total 12m,12.50%,15.50%,5.90%
